name,address_1,city,state,postal_code,industry
319 FSS Marketing - Grand Forks Air Force Base,,,South Carolina,29485,Government/Simulation/Other
Anderson 1 & 2 Career Center,,Williamston,SC,,Higher Edu- Design
Anderson School District 4,PO Box 545,Pendleton,SC,29670-0545,K-12
Barnwell School District 45,770 Hagood Ave,Barnwell,SC,29812-1916,K-12
"Bissell, Homecare Inc",,,South Carolina,29708,Industrial Design - Product
BJU Press,1430 Wade Hampton Blvd.,Greenville,SC,29609,Media & Entertainment
Bob Jones University,1700 Wade Hampton Blvd.,Greenville,SC,29614,Edu Reseller- BookStore
Burke High School,244 President Street,Charleston,SC,29403,Higher Edu- Design
Calhoun County High School,150 Saints Ave,Saint Matthews,SC,29135-9005,K-12
Charleston Charter School for Math and Science,,,South Carolina,29403,K-12
Charleston County School District,75 Calhoun St,Charleston,SC,29401,K-12
Chester County School District,509 District Office Dr,Chester,SC,29706-4704,K-12
Chesterfield County School District,401 West Blvd,Chesterfield,SC,29709-1534,K-12
Clemson Apple Stores,,Clemson,SC,,Higher Edu- Design
Clemson University - Charleston,1250 Supply Street,Charleston,SC,29405,Higher Edu- Design
Clemson University - Clemson,201 Sikes Hall,Clemson,SC,29630,Higher Edu- Design
Clover High School,1625 Highway 55 E,Clover,SC,29710-8502,K-12
Clover School District 2,604 Bethel St,Clover,SC,29710-1156,K-12
Coastal Carolina University,,Conway,SC,,Higher Edu- Design
Coker University,300 E College Ave,Hartsville,SC,29550,Higher Edu- Design
College of Charleston,,Charleston,SC,,Higher Edu- Design
Columbia International University,,Columbia,SC,,Higher Edu- Design
Converse College,,Spartanburg,SC,,Higher Edu- Design
Darlington County School District,PO Box 1117,Darlington,SC,29540-1117,K-12
Domtar,,,South Carolina,29715,
Easley High School,,,South Carolina,29631,K-12
FJM Studios,,Columbia,SC,,
Florence County School District 5,PO Box 98,Johnsonville,SC,29555-0098,K-12
Florence School District 2,2121 S Pamplico Hwy,Pamplico,SC,29583-4046,K-12
Florence School District 4,304 Kemper St,Timmonsville,SC,29161-1922,K-12
Francis Marion University,,Florence,SC,,Higher Edu- Design
Furman University,,Greenville,SC,,Higher Edu- Design
Greenville County School District,,Greenville,SC,,Higher Edu- Design
Greenville Technical College,,Greenville,SC,,Higher Edu- Design
Hampton North School District 1,372 Pine St E,Varnville,SC,29944-9618,K-12
Hannah-Pamplico High School,2055 S Pamplico Hwy,Pamplico,SC,29583-4047,K-12
Heyward Career & Technical Center,3560 Lynhaven Dr,Columbia,SC,29204,K-12
Horry County Schools,PO Box 260005,Conway,SC,29528-6005,K-12
Horry-Georgetown Technical College,,Conway,SC,,Higher Edu- Design
IDV Inc,,Lexington,SC,,Animation
INSP,,,SC,,Media & Entertainment
Joann Benzinger Photography,,Travelers Rest,South Carolina,,Photography
Lake Marion High Schl and Technology Ctr,PO Box 650,Santee,SC,29142-0650,K-12
Lander University,JL-317 Jackson Library   320 Stanley Ave,Greenwood,SC,29649,Higher Edu- Design
Lexington School District 2,715 9th St,West Columbia,SC,29169-7169,K-12
Limestone College-Closed 4/17/25,,Gaffney,SC,,Higher Edu- Design
Loris High School,301 Loris Lions Rd,Loris,SC,29569-6069,K-12
Marion County School District,719 N Main St,Marion,SC,29571-2517,K-12
Marlboro County High School,951 Fayetteville Avenue Ext,Bennettsville,SC,29512-4151,K-12
Medical University of South Carolina,,Charleston,SC,,Higher Edu- Design
Michelin Americas Research Company,515 Michelin Rd.,Greenville,SC,29605,Industrial Design - Product
Midlands Technical College Bookstore,,West Columbia,SC,,Higher Edu- Design
Palmetto Acdmy For Learning Motorsports,826 W Cox Ferry Rd,Conway,SC,29526-8510,K-12
Palmetto Unified School District,1735 Haviland Cir,Columbia,SC,29210-4052,K-12
Paul M Dorman High School,1050 Cavalier Way,Roebuck,SC,29376-3364,K-12
Pendleton High School,PO Box 869,Pendleton,SC,29670-0860,K-12
Piedmont Technical College,620 North Emerald Road PO Box 1467,Greenwood,SC,29646,Higher Edu- Design
Play to Win,,Charlston,SC,,Game Development/Simulation
RDI Global Hospitality,,,South Carolina,29316,
Richland County School District 1,1616 Richland St,Columbia,SC,29201-2634,K-12
Richland School District #2,,Columbia,SC,,Higher Edu- Design
Richland School District 2,124 Risdon Way,Columbia,SC,29223-7137,K-12
River Bluff High School,,,South Carolina,29072,K-12
Rock Hill School District 3,PO Box 10072,Rock Hill,SC,29731-0072,K-12
S.C. Sea Grant Consortium,,,South Carolina,29401,
South Carolina Association of CPAs,,,South Carolina,29204,
South Carolina Governor's School for the Arts and Humanities,15 University St,Greenville,SC,29601,K-12
Spartanburg County School District 1,PO Box 218,Campobello,SC,29322-0218,K-12
Spartanburg County School District 4,118 McEdco Road,Woodruff,SC,29388,K-12
Spartanburg County School District 6,1390 Cavalier Way,Roebuck,SC,29376-3367,K-12
Spartanburg School District 4,118 Mcedco Rd,Woodruff,SC,29388-9693,K-12
Stuart Communications,,,South Carolina,29732,
Summerville High School,,Summerville,SC,,Higher Edu- Design
Sumter School District,PO Box 2039,Sumter,SC,29151-2039,K-12
Swansea High School,500 E 1st St,Swansea,SC,29160-9004,K-12
TD SYNNEX -USA,39 Pelham Ridge Drive,Greenville,SC,29615,DISTRIBUTOR
The School District of Newberry County,PO Box 718,Newberry,SC,29108-0718,K-12
The Warren Group,,,South Carolina,29063,
Truematter,,,South Carolina,29204,
University of South Carolina,1600 Hampton St.,Columbia,SC,29208,Higher Edu- Design
University of South Carolina Bookstore,,Columbia,SC,,Edu Reseller- BookStore
University of South Carolina Upstate,800 University Way,Spartanburg,SC,29303,Higher Edu- Design
University of South Carolina-Beaufort,,Beaufort,SC,,Higher Edu- Design
Wade Hampton High School,,Greenville,SC,,Higher Edu- Design
Wanderu,,,South Carolina,29720,
Wando HighSchool,,Mount Pleasant,SC,,Higher Edu- Design
Ware Shoals School District 51,56 S Greenwood Ave,Ware Shoals,SC,29692-1541,K-12
West Ashley High School,4060 Wildcat Blvd,Charleston,SC,29414-5851,K-12
Williamsburg County School District,PO Box 1067,Kingstree,SC,29556-1067,K-12
Winthrop University,,Rock Hill,SC,,Higher Edu- Design
Woodruff High School,710 Cross Anchor Highway,Woodruff,SC,29388,K-12
York School District 1,PO Box 770,York,SC,29745-0770,K-12
